Outletid,OutletName,DistCode,DistributorName,MainChannelCode,MainChannelType,SM_Code,SM_Name,ASM_Code,ASM_Name,RSE_Code,RSE_Name,PSR_Code,PSR_Desc
"C032814","RAJU MISTANNA BHANDAR (KASIPUR","C000336","MODERN DRINKS TRADERS","MC0020","SWEET/ CHAAT/ BAKERY","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032815","GHOSH STATIONARY","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032816","ANNAPURNA MISTANNA BHANDER","C000336","MODERN DRINKS TRADERS","MC0020","SWEET/ CHAAT/ BAKERY","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032817","FIROZ ELECTRONICS & TELECOM","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032818","GHOSH MISTANNA BHANDAR","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032819","MOJAMMEL SEKH","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032820","MANI VARIETY STORES","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032821","LOKENATH VARIETY STORES","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032822","NEW JANAPRIYA BHANDAR (MALLIKPARA)","C000336","MODERN DRINKS TRADERS","MC0015","GROCERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032823","BAPPA VARIETY STORES","C000336","MODERN DRINKS TRADERS","MC0015","GROCERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032824","RADHEYSHYAM GHOSH","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032825","PRADIP BASU","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032826","ANCHAR BHANDAR","C000336","MODERN DRINKS TRADERS","MC0020","SWEET/ CHAAT/ BAKERY","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032827","MINTU MUDI BHANDAR","C000336","MODERN DRINKS TRADERS","MC0015","GROCERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032828","GHOSH MUDIO BHANDAR","C000336","MODERN DRINKS TRADERS","MC0015","GROCERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032829","A.K.MUDI BHANDAR","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032830","SAHIDUL ISLAM MOLYA","C000336","MODERN DRINKS TRADERS","MC0020","SWEET/ CHAAT/ BAKERY","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032831","MUSLIM HOTEL","C000336","MODERN DRINKS TRADERS","MC0016","MASS EATERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032832","KHALILUR MOLYA","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032833","KHAN MUDI BHANDAR","C000336","MODERN DRINKS TRADERS","MC0015","GROCERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032834","JAMIR MOLLA  (NAYABAD PURBA PARA)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032835","SONALI VARIETY STORE","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032836","JULFIKAR MOLLA  (MAJHER PARA)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
